"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780668280195383E9,"2026-06-05 4:04:40.195 UTC+02:00"
"PAUSE",3.738477725000121E1,1.780668317580279E9,"2026-06-05 4:05:17.580 UTC+02:00"
