"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780663756429134E9,"2026-06-05 2:49:16.429 UTC+02:00"
"PAUSE",2.441286250005942E1,1.780663780841543E9,"2026-06-05 2:49:40.842 UTC+02:00"
