"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780661138846990E9,"2026-06-05 2:05:38.847 UTC+02:00"
"PAUSE",2.295337862498127E1,1.780661161799354E9,"2026-06-05 2:06:01.799 UTC+02:00"
