"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781718325738916E9,"2026-06-17 7:45:25.739 UTC+02:00"
"PAUSE",1.821781599987298E1,1.781718343956726E9,"2026-06-17 7:45:43.957 UTC+02:00"
