"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781718133560747E9,"2026-06-17 7:42:13.561 UTC+02:00"
"PAUSE",3.695094187511131E1,1.781718170511681E9,"2026-06-17 7:42:50.512 UTC+02:00"
