"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780831297002372E9,"2026-06-07 1:21:37.002 UTC+02:00"
"PAUSE",2.237436949997209E1,1.780831319376497E9,"2026-06-07 1:21:59.376 UTC+02:00"
