"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781719463153714E9,"2026-06-17 8:04:23.154 UTC+02:00"
"PAUSE",4.662743779155426E1,1.781719509794884E9,"2026-06-17 8:05:09.795 UTC+02:00"
