"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780832333021745E9,"2026-06-07 1:38:53.022 UTC+02:00"
"PAUSE",6.286371129169129E1,1.780832395884770E9,"2026-06-07 1:39:55.885 UTC+02:00"
