"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780665889244739E9,"2026-06-05 3:24:49.245 UTC+02:00"
"PAUSE",1.722938375000376E1,1.780665906473962E9,"2026-06-05 3:25:06.474 UTC+02:00"
