"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780667036659880E9,"2026-06-05 3:43:56.660 UTC+02:00"
"PAUSE",4.082764129166026E1,1.780667077487306E9,"2026-06-05 3:44:37.487 UTC+02:00"
