"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780662154781777E9,"2026-06-05 2:22:34.782 UTC+02:00"
"PAUSE",2.103528041660320E1,1.780662175816922E9,"2026-06-05 2:22:55.817 UTC+02:00"
