"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780668064047019E9,"2026-06-05 4:01:04.047 UTC+02:00"
"PAUSE",3.339622470829636E1,1.780668097442970E9,"2026-06-05 4:01:37.443 UTC+02:00"
