"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.754322660E1,5.238166842E1,4.859851262E0,8.269183943E-1,4.495575084E-1,NaN,1.436921049E1,3.010070668E0
5.854322267E1,5.238166315E1,4.859855032E0,6.679069698E-1,4.190908613E-1,NaN,1.420103209E1,3.088197535E0
5.954321885E1,5.238169398E1,4.859828291E0,6.419918230E-1,2.194971924E0,3.316948423E2,1.513312043E1,3.301522061E0
6.054321551E1,5.238170409E1,4.859811195E0,3.703850303E-1,1.858171121E0,3.230139675E2,1.696046555E1,3.112064261E0
6.154321110E1,5.238170512E1,4.859812910E0,4.036279097E-1,1.010850976E0,3.306004191E2,1.824757663E1,3.000000000E0
6.254320729E1,5.238169211E1,4.859810198E0,4.365908131E-1,1.281170169E-1,NaN,1.817716315E1,3.000000000E0
6.354320419E1,5.238168963E1,4.859804746E0,5.512446426E-1,1.784790642E-1,NaN,1.787270516E1,3.067024953E0
6.454319978E1,5.238167121E1,4.859817382E0,5.502822259E-1,2.561906173E-2,NaN,1.790334057E1,3.275618646E0
6.554319680E1,5.238167125E1,4.859829841E0,4.275057884E-1,6.887748946E-1,NaN,1.809212495E1,3.239702125E0
6.654319239E1,5.238166215E1,4.859817076E0,4.704884673E-1,1.206770408E-1,NaN,1.842314799E1,3.458214353E0
6.754318786E1,5.238164805E1,4.859775218E0,1.286925040E-1,2.029775404E0,2.404121962E2,1.835383750E1,3.346561590E0
6.854318440E1,5.238165193E1,4.859758866E0,4.155033454E-2,1.512201485E0,2.561265207E2,1.821941221E1,3.100070041E0
6.954318035E1,5.238165081E1,4.859754365E0,3.692515027E-1,1.289568499E0,2.692189724E2,1.888271142E1,3.000000000E0
