"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780937165045903E9,"2026-06-08 6:46:05.046 UTC+02:00"
"PAUSE",3.239541208336595E1,1.780937197440426E9,"2026-06-08 6:46:37.440 UTC+02:00"
