"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780936878996043E9,"2026-06-08 6:41:18.996 UTC+02:00"
"PAUSE",3.195692304160912E1,1.780936910952085E9,"2026-06-08 6:41:50.952 UTC+02:00"
