"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780662571447354E9,"2026-06-05 2:29:31.447 UTC+02:00"
"PAUSE",4.990449049999006E1,1.780662621351497E9,"2026-06-05 2:30:21.351 UTC+02:00"
