"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780666731998018E9,"2026-06-05 3:38:51.998 UTC+02:00"
"PAUSE",3.112345970841125E1,1.780666763121287E9,"2026-06-05 3:39:23.121 UTC+02:00"
