"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780833242332749E9,"2026-06-07 1:54:02.333 UTC+02:00"
"PAUSE",1.140905137084192E2,1.780833356422018E9,"2026-06-07 1:55:56.422 UTC+02:00"
