"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781719243880582E9,"2026-06-17 8:00:43.881 UTC+02:00"
"PAUSE",4.674556770827621E1,1.781719290624974E9,"2026-06-17 8:01:30.625 UTC+02:00"
