"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780830748494752E9,"2026-06-07 1:12:28.495 UTC+02:00"
"PAUSE",3.563205883337650E1,1.780830784126421E9,"2026-06-07 1:13:04.126 UTC+02:00"
