"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781722069204712E9,"2026-06-17 8:47:49.205 UTC+02:00"
"PAUSE",6.708404116681777E1,1.781722136288154E9,"2026-06-17 8:48:56.288 UTC+02:00"
