"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780663052198442E9,"2026-06-05 2:37:32.198 UTC+02:00"
"PAUSE",3.258003470837139E1,1.780663084778143E9,"2026-06-05 2:38:04.778 UTC+02:00"
