"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780665670016786E9,"2026-06-05 3:21:10.017 UTC+02:00"
"PAUSE",5.197234570828732E1,1.780665721988617E9,"2026-06-05 3:22:01.989 UTC+02:00"
