"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780940882003822E9,"2026-06-08 7:48:02.004 UTC+02:00"
"PAUSE",2.346243333327584E1,1.780940905465932E9,"2026-06-08 7:48:25.466 UTC+02:00"
