"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780663338208944E9,"2026-06-05 2:42:18.209 UTC+02:00"
"PAUSE",6.718882708332967E1,1.780663405397280E9,"2026-06-05 2:43:25.397 UTC+02:00"
