"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781717493094677E9,"2026-06-17 7:31:33.095 UTC+02:00"
"PAUSE",3.373605120833963E1,1.781717526830720E9,"2026-06-17 7:32:06.831 UTC+02:00"
