"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781719892228666E9,"2026-06-17 8:11:32.229 UTC+02:00"
"PAUSE",3.822529616672546E1,1.781719930453619E9,"2026-06-17 8:12:10.454 UTC+02:00"
