"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780937056423118E9,"2026-06-08 6:44:16.423 UTC+02:00"
"PAUSE",2.810443870839663E1,1.780937084526782E9,"2026-06-08 6:44:44.527 UTC+02:00"
