"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780667878302806E9,"2026-06-05 3:57:58.303 UTC+02:00"
"PAUSE",2.076327904174104E1,1.780667899065939E9,"2026-06-05 3:58:19.066 UTC+02:00"
