"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.903078079E-3,5.238111296E1,4.860347587E0,-1.608703697E0,NaN,NaN,4.084604039E2,3.002396224E1
4.349601269E-2,5.238160954E1,4.859968230E0,-1.608703697E0,NaN,NaN,2.444792266E1,3.003561592E1
5.201810598E-1,5.238116509E1,4.860425959E0,2.469734229E0,NaN,NaN,2.397712062E1,3.000000000E1
4.118489265E0,5.238112097E1,4.860412643E0,7.460903168E0,4.499999881E-1,NaN,3.918183531E1,6.400000000E1
5.118479609E0,5.238113801E1,4.860442035E0,5.042381287E-1,8.100000024E-1,3.146484375E2,2.193121652E1,4.000000000E0
6.118471026E0,5.238115910E1,4.860458779E0,8.248558044E-1,4.499999881E-1,NaN,1.628516487E1,4.000000000E0
7.118461967E0,5.238117057E1,4.860493904E0,7.975120544E-1,6.200000048E-1,2.689453125E2,1.666703833E1,4.000000000E0
8.118452311E0,5.238115678E1,4.860547715E0,3.624534607E-1,6.200000048E-1,1.466015625E2,1.615100664E1,4.000000000E0
9.118443131E0,5.238114552E1,4.860596202E0,1.820335388E-1,5.699999928E-1,1.276171875E2,1.413100149E1,4.000000000E0
1.011899948E1,5.238113722E1,4.860635069E0,3.387107849E-1,7.900000215E-1,1.156640625E2,1.412648938E1,4.000000000E0
1.111900222E1,5.238113352E1,4.860653457E0,-2.284889221E-1,5.699999928E-1,1.233984375E2,1.412243814E1,4.000000000E0
1.211899567E1,5.238113685E1,4.860656050E0,-9.396743774E-2,2.099999934E-1,NaN,1.411988255E1,4.000000000E0
1.311900163E1,5.238115119E1,4.860610597E0,5.709495544E-1,3.100000024E-1,1.873828125E2,1.218200516E1,4.000000000E0
1.411900866E1,5.238115447E1,4.860610495E0,1.283107758E0,5.600000024E-1,1.747265625E2,1.223838855E1,4.000000000E0
1.511900210E1,5.238115761E1,4.860607422E0,1.422817230E0,4.300000072E-1,1.582031250E2,1.227630036E1,4.000000000E0
1.611899924E1,5.238115482E1,4.860638966E0,1.422817297E0,4.300000072E-1,NaN,5.611826417E0,4.000000000E0
1.711900628E1,5.238116085E1,4.860657933E0,1.650478432E0,5.600000024E-1,NaN,5.536739020E0,4.000000000E0
1.811900342E1,5.238116180E1,4.860696052E0,1.579921901E0,1.190000057E0,1.058203258E2,5.924940671E0,4.000000000E0
1.911902273E1,5.238116495E1,4.860702308E0,2.046596705E0,1.190000057E0,1.093359506E2,5.604202602E0,4.000000000E0
2.011901677E1,5.238116630E1,4.860690847E0,1.837673275E0,5.099999905E-1,1.413281287E2,5.605904036E0,4.000000000E0
2.111901128E1,5.238116595E1,4.860690539E0,1.645717690E0,4.900000095E-1,NaN,4.213486009E0,4.000000000E0
2.211901712E1,5.238116892E1,4.860683856E0,2.078884192E0,3.100000024E-1,NaN,5.995073522E0,4.000000000E0
2.311902273E1,5.238117216E1,4.860679891E0,2.554287025E0,3.100000024E-1,NaN,6.163991180E0,4.000000000E0
