feature,dataset_mean,dataset_std,dataset_min,dataset_max
duration_seconds,38.70299735635225,18.255952363219222,11.234559871658,114.068140683231
acc_mag_mean,10.629870579222436,0.3051368791646017,10.070821971792556,11.701006132379211
acc_mag_std,3.8384902684723357,1.00086755147157,1.904021911321698,7.092332545136337
acc_mag_min,1.2095068940076328,0.6061442296595068,0.18789035313267793,3.560683674222349
acc_mag_max,72.63018123168932,27.21939834057901,29.428569977175684,141.27821051778395
lin_acc_mag_mean,3.497448122525575,0.7379009484814728,1.7186541793469923,5.937461780976845
lin_acc_mag_std,4.1772611298782145,1.1030850277188242,2.139580689859783,7.423205924016528
lin_acc_mag_min,0.07818749608125927,0.030499272365853116,0.02469235677659358,0.18695696493121264
lin_acc_mag_max,65.14138404104298,27.679949168742397,20.440413985429824,134.08791568610695
gyro_mag_mean,1.3217252540471396,0.22629430401611,0.6179580339703046,1.994526682221416
gyro_mag_std,1.462257209986605,0.26026363379574413,0.8384258114221383,2.2065597076632093
gyro_mag_min,0.027702889592076466,0.013690957954991005,0.006458248794516183,0.08212310142050676
gyro_mag_max,14.722850472631842,4.427244850270142,6.074197395938741,26.038244649470485
gravity_mag_mean,9.810000152040974,4.2871850036572156e-08,9.810000077039197,9.81000030307654
gravity_mag_std,7.950333306209339e-07,2.0596242057565573e-07,4.4617958407020814e-07,1.337449141425099e-06
gravity_mag_min,9.809997508653284,5.169968773072494e-07,9.809996374053462,9.809998699574416
gravity_mag_max,9.81000286368992,5.903107908437099e-07,9.810001460567086,9.810004457725398
yaw_mean,2.666013633556185,42.608784625202475,-104.36913047651623,98.37157617565218
yaw_std,83.47858394953656,29.44335107624157,20.792535436922485,142.4139235820186
yaw_min,-168.43957518638553,29.931265466668727,-179.9990729,-16.96423573
yaw_max,170.86904499819278,22.853284850205192,56.26406963,179.9999701
pitch_mean,-43.361407143123515,9.749937567050894,-62.09450086813106,-8.921156435034616
pitch_std,21.16881536961818,4.493300127800488,10.697133305716605,31.255558504108752
pitch_min,-84.90695475650602,7.047826448830724,-89.75636355,-51.25588488
pitch_max,12.959970342786747,17.274729872011385,-20.93757424,60.89903761
roll_mean,-0.5628517315660396,57.049181743872374,-121.1104818039082,124.89850853082837
roll_std,87.47165843921546,31.723996574606836,21.314567168021213,143.2584659303216
roll_min,-173.8615191780723,20.880741316482144,-179.9997816,-27.63407038
roll_max,165.94879369087954,40.26883062954566,4.470066904,179.9995303
yaw_range,339.3086201845783,50.57991051357029,138.74886663,359.9950611
pitch_range,97.86692509929277,19.67534323905546,51.833618525,148.80149574
roll_range,339.8103128689518,54.99925480553698,133.86796468,359.9966364
