difficulty,feature,dataset_mean,dataset_std,dataset_min,dataset_max
1,duration_seconds,27.20893654776711,9.068155231266239,14.482000250025001,46.728276744940004
1,acc_mag_mean,10.587453458903925,0.37175391273740604,10.185001587217283,11.701006132379211
1,acc_mag_std,3.796721117494347,1.2350811092029705,2.3793335423890793,7.092332545136337
1,acc_mag_min,1.281689033079414,0.5283769320302137,0.452330955431317,2.7943811997922685
1,acc_mag_max,62.52929686056882,24.812128506816823,29.428569977175684,113.48159783155809
1,lin_acc_mag_mean,3.497494269062457,0.8949591465601595,2.358117092951164,5.937461780976845
1,lin_acc_mag_std,3.9926224196878572,1.312210998728587,2.4702198987716537,7.423205924016528
1,lin_acc_mag_min,0.07338345613631471,0.02445536709233632,0.0331761706110494,0.139456403447127
1,lin_acc_mag_max,53.701186201176185,24.43851248620906,20.440413985429824,100.52525318965307
1,gyro_mag_mean,1.4278606871195019,0.24172035368401243,1.0508368825675565,1.994526682221416
1,gyro_mag_std,1.4678418551450214,0.31955424028877794,0.9658621786265963,2.2065597076632093
1,gyro_mag_min,0.03209784959297028,0.012865180141878074,0.011767323431415583,0.055892505214257704
1,gyro_mag_max,12.764105466095382,4.180782699155073,6.074197395938741,22.99346875234937
1,yaw_mean,-7.111447983895906,30.90200412315582,-93.33593105531156,62.04549880205461
1,yaw_std,81.61423658053666,28.3450962047272,35.03646347484326,139.29195876089722
1,yaw_min,-164.62243778423078,31.97253160067436,-179.9963688,-79.72876681
1,yaw_max,163.0464523673077,34.252425046355555,56.26406963,179.9999701
1,pitch_mean,-44.78948321889087,7.187990752753247,-55.41040096177937,-24.21978516843594
1,pitch_std,21.287407688766717,4.600235930620388,11.779415906361942,30.392223947511848
1,pitch_min,-84.73162310576923,6.111659457322251,-89.50992359,-65.41440529
1,pitch_max,6.211056701315385,16.35775729329024,-20.93757424,46.8033863
1,roll_mean,-8.042162168597377,46.9588338205935,-90.48699225911581,124.89850853082837
1,roll_std,86.52705231643375,32.287058597947514,23.67722840765935,135.97662238142416
1,roll_min,-174.49971296153848,13.228650847330492,-179.9977036,-129.3341724
1,roll_max,158.74393525434618,51.71736574858391,4.470066904,179.9994057
1,yaw_range,327.66889015153845,65.56286010331284,138.74886663,359.9530044
1,pitch_range,90.94267980708462,18.333875125710726,55.048467239999994,135.98387712
1,roll_range,333.2436482158846,63.311766646709536,135.275913959,359.9845604
2,duration_seconds,43.021948407727216,16.11998070032378,20.747635458262202,92.769240754977
2,acc_mag_mean,10.661301392603104,0.24726621902978307,10.315629121358596,11.195460342922843
