"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780665231342293E9,"2026-06-05 3:13:51.342 UTC+02:00"
"PAUSE",4.958963691664394E1,1.780665280931533E9,"2026-06-05 3:14:40.932 UTC+02:00"
