feature,dataset_mean,dataset_std,dataset_min,dataset_max
duration_seconds,38.30283820881808,17.733549743004343,14.68308437332,92.769240754977
acc_mag_mean,10.702501307137599,0.29088212432766686,10.191844044154209,11.213206820682666
acc_mag_std,4.1338986216122136,1.1106306520267555,2.483643849798664,6.2880234539264865
acc_mag_min,1.1845216864798338,0.6608142127911291,0.18789035313267793,3.560683674222349
acc_mag_max,78.47725701932542,31.762755054435548,29.428569977175684,141.27821051778395
lin_acc_mag_mean,3.6452737864173375,0.5977185303385303,2.704220579210668,4.748157844104665
lin_acc_mag_std,4.534072957242993,1.2389029220078311,2.470219898771651,6.848150756713863
lin_acc_mag_min,0.07284065170895057,0.026952914620728716,0.03246375935003997,0.1308931699333626
lin_acc_mag_max,71.42477655244103,31.8353706375453,20.440413985429824,134.08791568610695
gyro_mag_mean,1.3506497510583573,0.20885314283381606,0.9790904615707016,1.994526682221416
gyro_mag_std,1.5271342909013679,0.291267863404486,0.9658621786265961,2.206559707663208
gyro_mag_min,0.025239308582828447,0.011936999368422109,0.009119268199293708,0.053873194688003834
gyro_mag_max,15.170400883778465,4.761983104286982,6.663338855193837,24.013184789796693
gravity_mag_mean,9.810000171590419,4.563924538412966e-08,9.810000077039197,9.81000030307654
gravity_mag_std,8.843303818149741e-07,2.013690601452886e-07,5.173179755139734e-07,1.3374491414250976e-06
gravity_mag_min,9.809997328922643,5.63269003680083e-07,9.809996374053462,9.809998610918415
gravity_mag_max,9.810003105477762,5.765142633507806e-07,9.81000175914329,9.810004302280868
yaw_mean,-3.563600293585037,45.51693607908908,-93.33593105531156,98.37157617565218
yaw_std,94.20679491336334,26.563119940136495,42.59083210739116,133.76197336103746
yaw_min,-176.88079913714284,8.555736905228285,-179.9990729,-132.3185029
yaw_max,175.54903620571426,12.042682231859706,116.5465497,179.9993419
pitch_mean,-41.63284438427411,8.922052432317255,-57.34256860612341,-13.267229371650304
pitch_std,19.848294660773885,4.8484210449476075,10.697133305716624,30.392223947511848
pitch_min,-83.64724147999999,8.832616875182334,-89.61928928,-51.25588488
pitch_max,7.375833830685712,12.73972387517902,-20.93757424,39.21823109
roll_mean,4.141411865477379,58.95583366047973,-121.1104818039082,102.7631952127094
roll_std,84.0799644971195,35.51372711708617,21.314567168021203,139.87581771419474
roll_min,-169.21045119371428,29.001500199299542,-179.9946273,-27.63407038
roll_max,156.82621728111428,50.517317970062656,5.941741559,179.9986376
yaw_range,352.42983534285713,20.427769398285676,248.8650526,359.9950611
pitch_range,91.0230753106857,17.659531593445084,51.833618525,125.7098399
roll_range,326.03666847482856,70.48102067276665,133.86796468,359.9653598
