"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780668481456448E9,"2026-06-05 4:08:01.456 UTC+02:00"
"PAUSE",7.167104449996259E1,1.780668553127688E9,"2026-06-05 4:09:13.128 UTC+02:00"
