"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780667467696824E9,"2026-06-05 3:51:07.697 UTC+02:00"
"PAUSE",5.945251987501979E1,1.780667527148203E9,"2026-06-05 3:52:07.148 UTC+02:00"
