feature,dataset_mean,dataset_std,dataset_min,dataset_max
duration_seconds,0.9675261525925926,0.3891552567959946,0.3307310000000001,2.3050446999999963
acc_mag_mean,9.86917366544826,0.41190565334475254,9.276003882457827,12.29673157737025
acc_mag_std,0.9678046054083881,1.2689893480115662,0.17217826109693526,9.22591224657853
acc_mag_min,7.7519024866205015,1.7407173071209658,1.7747109180291751,9.608273784148185
acc_mag_max,13.602017356071379,7.2223998662943965,10.113197996119613,60.827082377902116
lin_acc_mag_mean,1.2104431784878045,1.1011802850171484,0.2880490622329436,8.120110894702256
lin_acc_mag_std,0.9465197937250935,1.233339839443062,0.11843981026005154,8.457596304540658
lin_acc_mag_min,0.1729296100454107,0.10357833799378914,0.02469235677659358,0.4519680642392572
lin_acc_mag_max,5.229833158313461,7.75789497090132,0.5472905790610226,53.47112309377625
gyro_mag_mean,0.536697846656113,0.41822884097527885,0.1038149332827363,2.767338302288664
gyro_mag_std,0.4110781162251385,0.4449626240244974,0.04659005433515679,2.9701851046816063
gyro_mag_min,0.0854262571416261,0.06883413097186686,0.010331008597767137,0.30840156440295063
gyro_mag_max,2.016281933799065,2.420398810679911,0.20495018046376934,16.856044831657034
gravity_mag_mean,9.810000124323349,9.193131312489684e-08,9.80999996919343,9.81000041443155
gravity_mag_std,5.54439140185711e-07,1.554735198839155e-07,2.7705454356729086e-07,1.1114853443070957e-06
gravity_mag_min,9.80999888244046,3.0425607721109454e-07,9.809997916270309,9.80999948351717
gravity_mag_max,9.810001376948382,4.4492949067366765e-07,9.810000680698813,9.810002620317125
yaw_mean,70.67806529302783,13.841067247791809,39.224763181200004,108.19007908472221
yaw_std,2.8077053206958333,4.832219023613801,0.21701558906974086,31.2819710056869
yaw_min,65.60280622887036,17.447772468960736,-3.588408731,105.8574742
yaw_max,75.17950466092591,15.488031081020548,43.20926391,115.5817843
pitch_mean,-14.394516307006581,9.696791436466576,-42.78758116125001,6.280739027930927
pitch_std,2.605216905404827,3.528976760617831,0.1189939153681729,25.26397010882926
pitch_min,-18.84726843553704,12.421061446495052,-67.95676636,-1.890541995
pitch_max,-10.325863237162965,10.428957984051742,-38.30032085,14.3736386
roll_mean,-8.543396823149667,105.52322224920428,-168.78934441756758,175.97013357964602
roll_std,7.331853632351669,16.432755991651504,0.39011835323394045,107.1427353618033
roll_min,-18.824577660064815,105.30943195445437,-179.8889312,166.4058646
roll_max,5.251995314462964,108.16020695216946,-159.6618644,179.8235803
yaw_range,9.576698432055556,16.031787756891358,0.7883750200000037,106.880543131
pitch_range,8.521405198374072,11.087942759906001,0.3992627570000007,79.83061387000001
roll_range,24.076572974527785,53.287066339081015,1.2443283000000065,359.7125115
