difficulty,style,topped,window_count,duration_seconds,window_1_acc_mag_mean,window_1_acc_mag_std,window_1_acc_mag_min,window_1_acc_mag_max,window_1_lin_acc_mag_mean,window_1_lin_acc_mag_std,window_1_lin_acc_mag_min,window_1_lin_acc_mag_max,window_1_gyro_mag_mean,window_1_gyro_mag_std,window_1_gyro_mag_min,window_1_gyro_mag_max,window_1_yaw_std,window_1_pitch_std,window_1_roll_std,window_1_yaw_range,window_1_pitch_range,window_1_roll_range,window_1_yaw_mean_sin,window_1_yaw_mean_cos,window_1_yaw_min_sin,window_1_yaw_min_cos,window_1_yaw_max_sin,window_1_yaw_max_cos,window_1_pitch_mean_sin,window_1_pitch_mean_cos,window_1_pitch_min_sin,window_1_pitch_min_cos,window_1_pitch_max_sin,window_1_pitch_max_cos,window_1_roll_mean_sin,window_1_roll_mean_cos,window_1_roll_min_sin,window_1_roll_min_cos,window_1_roll_max_sin,window_1_roll_max_cos
1,1,1,1,23.652213246670502,10.192044200955134,2.5498711931567644,1.3271713894026724,32.8681032311943,2.704220579210668,2.4702198987716537,0.040318851662809914,23.324360794746095,1.1348535411284817,1.022474627802528,0.011767323431415583,6.663338855193837,89.907637868244,11.779415906361942,32.90062520054084,359.9530044,55.048467239999994,135.275913959,-0.9983055210283441,-0.058190090946193915,-6.337639575614998e-05,-0.9999999979917162,0.0007568514858949381,-0.9999997135878731,-0.7189915490893509,0.695018814377061,-0.9702367599540539,0.2421582739322767,-0.3573505684429475,0.9339703267414347,-0.8830610323892573,0.4692581518478067,-0.7734623105286492,-0.6338422944169025,0.10351717793976972,0.9946276659491159
1,1,1,1,27.05865995827,10.323608498646774,3.0710422184713764,2.1907254337650626,51.35557104469665,2.7817993428158667,3.2292385081794883,0.03941302692205469,42.348794042457435,1.0901234558971042,0.9658621786265963,0.029689739005702202,8.392559504694116,52.92440842787144,20.092176822040404,49.87110795175236,349.9428982,88.7794850282,344.3253858,-0.19438693161906107,0.9809249312846149,-0.12445457021596751,-0.9922253070509535,0.050729646987061186,-0.998712422530414,-0.7182544460580982,0.6957805334426758,-0.9994385082578625,0.03350624137826262,0.012210205696734958,0.9999254526597687,0.60463065405227,0.7965059774918981,-0.18595254318239476,-0.9825587268372307,0.08642445160671815,-0.9962584073243639
1,1,1,1,16.3060208717684,11.048808442051396,5.970755572350731,1.215919276154589,96.67043458574891,4.3461971172401626,6.408055499306875,0.05089424896469803,85.24664471658393,1.6483035971570714,1.9273762631082791,0.04969013277748068,15.895496717023866,72.11315248182555,26.008164125426465,112.07690066290577,333.8138499,114.72229655000001,359.50926460000005,0.2169857968667115,0.9761747609716809,-0.1939797740606933,-0.9810055286568788,0.25883622564657094,-0.965921222612402,-0.7500140937733364,0.6614218465860958,-0.9981904997855818,0.06013090834014034,0.4720834560337909,0.8815538613942949,-0.41549523482576817,0.9095953549997272,-0.005081512974626872,-0.9999870890295978,0.0034834065975450604,-0.9999939329208334
1,1,1,1,22.90864074836,10.550895940910324,4.316334247703913,1.3876124143577422,79.8881220562756,3.374138784625594,4.56576925852278,0.08306036529188797,74.32828076726847,1.4308910778852126,1.8107240061336696,0.0437099703907701,19.582209857965303,59.51968245062084,26.219447821239683,92.62722795594254,337.6696928,95.625081964,359.864653,-0.16411602228097955,0.9864410429572915,-0.08183769778443518,-0.9966456698452782,0.3029704465937427,-0.9529999519888698,-0.6559373118901544,0.7548153700543718,-0.9991404206702977,0.04145382711861921,0.13918851904911353,0.9902659017480682,0.6724941859316048,0.7401024050009487,-0.0020724059610225647,-0.9999978525644606,0.00028984333416200365,-0.99999995799542
1,1,1,1,14.68308437332,11.14090869310181,5.541620684820111,0.7838966206842376,94.85047006466782,4.748157844104665,5.910944007711501,0.07534780109522811,86.39722479935067,1.994526682221416,2.2065597076632093,0.053873194688003834,13.46355301805526,89.78895366477909,25.82765989905042,63.724431082530444,359.54906900000003,90.207290432,359.301972,0.8833201236256215,0.46877026270660205,-0.0014810753897889716,-0.9999989032072434,0.006389111249201069,-0.9999795894204268,-0.6189522405114382,0.7854286243611642,-0.9990084501369203,0.04452096758863703,0.04813498154968109,0.9988408399495947,-0.37860105082057954,0.9255599625726866,-0.0014489439127422991,-0.9999989502802179,0.010733736329521898,-0.9999423917928514
1,2,1,1,23.984071001718,10.36661617793049,2.4846529088738736,1.8289021373829253,31.334296154521116,3.065119335945262,2.6343527912374634,0.10058576901225934,26.078969211258,1.3042593527467368,1.1363791213896308,0.03245238031535597,8.15626871221409,110.88798594114755,18.321577639923706,50.05276445143591,359.78542919999995,76.24015790899999,221.84635561,-0.6885606302699906,0.7251787768834616,-0.0008278706561788069,-0.9999996573150296,0.0029170920507481496,-0.9999957452779324,-0.8033534618266043,0.5955024898110929,-0.9966469190386325,0.08182248328425142,-0.15758092506525126,0.9875060769714684,-0.8135512411820286,0.5814932312341913,-0.6754125476997382,-0.7374400927599128,0.9951118346221794,0.09875442569768854
1,2,1,1,25.183270541735,10.341318227972971,2.380191224445765,1.203479897176618,31.913314418852533,2.8105231353023985,2.6818929777578466,0.06035193184715538,22.721009588057886,1.3371367649960204,1.22486821850881,0.02031825577060615,10.299355489444627,37.84477363992765,18.889856001914765,57.2879265382171,138.74886663,79.55905449000001,359.7997563,-0.5060293106463954,0.86251628202993,-0.9914101923381766,0.13078925998712473,0.8316060138186664,0.5553660394556261,-0.572506448884721,0.8199002170907179,-0.9093407415173438,0.4160521791995414,0.2443707352860111,0.9696818775947987,0.8201667691524409,-0.5721245238390387,-0.002866730785777545,-0.9999958909188587,0.0006281771177349356,-0.9999998026967349
1,2,1,1,35.6161399966181,10.340008458271285,2.8330930458607027,0.9580859983041692,45.174343002042924,2.884377362360045,2.9944414370758263,0.09250802227768705,36.80721860104357,1.3013264901194734,1.2248080292738157,0.020691385519209026,11.186061906587575,45.6784952854774,20.80614252838478,131.65104184741244,192.09863108000002,88.98583097,359.9543168,-0.4101214126861919,0.9120309352518051,-0.9875300463647132,0.15743064354472827,0.9325985631888911,-0.3609153916612809,-0.6155747864288913,0.7880784747174769,-0.9613661145446888,0.2752729441940277,0.2582139646683848,0.9660877540111116,-0.8920268485791779,0.45198241272631434,-0.0007869496798774996,-0.9999996903550528,1.0372491744118115e-05,-0.9999999999462057
1,2,1,1,21.017368211702,10.943688380718335,4.992373457058018,0.452330955431317,75.07127935833209,4.46444454952269,5.2000044863921175,0.06950427124928828,69.91298010781148,1.3713021460042205,1.5108954952929565,0.024431606323219997,10.375854000795536,74.28734950961044,30.392223947511848,114.89882464619355,357.33933360000003,106.51585843,359.81595849999997,-0.25021419844017234,0.9681905054786181,-0.014390547548573726,-0.9998964507093984,0.03204085988314993,-0.9994865598385745,-0.7042794638958612,0.7099228385779389,-0.9998282263975711,0.0185342304584585,0.3020014140400416,0.9533074771120886,-0.6390367514629628,0.7691762023617628,-0.00025582163232093567,-0.9999999672776457,0.0029563041939622463,-0.9999956301232085
1,3,1,1,32.682621619961004,10.218354075829804,2.555507895280987,0.6058029947586041,29.428569977175684,2.725619065555136,2.527450077752537,0.033380766769627146,20.440413985429824,1.2258742717541424,1.1987584101842503,0.01935544249459606,9.756859707916776,118.28692522744468,12.106930179883888,43.28071898703862,359.9389966,62.06924436,247.99851194,-0.37086345972125384,0.9286874039436424,-0.0006342683156105508,-0.9999997988518317,0.00043044181348116513,-0.9999999073599183,-0.7235406790913316,0.6902817437105336,-0.9883527359949633,0.1521803839240472,-0.3284949651584636,0.9445057214572815,-0.5671153101841211,0.823638406677814,-0.35884179957105866,-0.9333983945136204,0.9998559849624494,0.016970837774547075
