"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780663172320329E9,"2026-06-05 2:39:32.320 UTC+02:00"
"PAUSE",4.786444170831237E1,1.780663220184458E9,"2026-06-05 2:40:20.184 UTC+02:00"
