classifier	selector	avg_performance_v	outer_scores_per_repeat	best_parameters
KNN	Variance Threshold	0.507	[{'fit_time': [1.4956321716308594, 1.3692662715911865, 1.3734662532806396], 'score_time': [0.004601716995239258, 0.00435328483581543, 0.004471778869628906], 'test_accuracy': [0.5555555555555556, 0.6111111111111112, 0.6111111111111112], 'test_precision_macro': [0.6488095238095238, 0.6238095238095238, 0.6851851851851851], 'test_recall_macro': [0.5833333333333334, 0.6666666666666666, 0.6964285714285715], 'test_f1_macro': [0.557142857142857, 0.6184926184926185, 0.6123737373737373]}, {'fit_time': [1.3892149925231934, 1.3773715496063232, 1.3656880855560303], 'score_time': [0.004375934600830078, 0.004428386688232422, 0.0043926239013671875], 'test_accuracy': [0.3333333333333333, 0.6666666666666666, 0.6111111111111112], 'test_precision_macro': [0.27777777777777773, 0.6785714285714285, 0.6666666666666666], 'test_recall_macro': [0.39285714285714285, 0.7142857142857143, 0.6964285714285715], 'test_f1_macro': [0.325, 0.6623376623376623, 0.6484593837535013]}, {'fit_time': [1.3643219470977783, 1.4026238918304443, 1.3746278285980225], 'score_time': [0.004410982131958008, 0.00440526008605957, 0.0043947696685791016], 'test_accuracy': [0.6111111111111112, 0.5555555555555556, 0.4444444444444444], 'test_precision_macro': [0.6317460317460317, 0.6666666666666666, 0.4539682539682539], 'test_recall_macro': [0.6309523809523809, 0.5476190476190476, 0.5595238095238095], 'test_f1_macro': [0.6091686091686092, 0.5253411306042884, 0.4880952380952381]}, {'fit_time': [1.3778116703033447, 1.3908414840698242, 1.3765959739685059], 'score_time': [0.004422187805175781, 0.004592180252075195, 0.004340410232543945], 'test_accuracy': [0.4444444444444444, 0.6111111111111112, 0.3888888888888889], 'test_precision_macro': [0.5833333333333334, 0.6111111111111112, 0.41111111111111115], 'test_recall_macro': [0.48809523809523814, 0.6666666666666666, 0.45436507936507936], 'test_f1_macro': [0.44814814814814813, 0.5998445998445998, 0.37167755991285406]}, {'fit_time': [1.387617588043213, 1.4036688804626465, 1.3749001026153564], 'score_time': [0.004495859146118164, 0.0044939517974853516, 0.004412174224853516], 'test_accuracy': [0.5555555555555556, 0.5, 0.7222222222222222], 'test_precision_macro': [0.6428571428571429, 0.4861111111111111, 0.75], 'test_recall_macro': [0.5833333333333334, 0.5, 0.7857142857142857], 'test_f1_macro': [0.6063492063492063, 0.49145299145299143, 0.7111111111111111]}, {'fit_time': [1.3811120986938477, 1.3713068962097168, 1.3942346572875977], 'score_time': [0.004369020462036133, 0.004412651062011719, 0.00457453727722168], 'test_accuracy': [0.5, 0.3888888888888889, 0.5], 'test_precision_macro': [0.5317460317460317, 0.2722222222222222, 0.5185185185185185], 'test_recall_macro': [0.5, 0.4047619047619048, 0.5436507936507936], 'test_f1_macro': [0.5111111111111111, 0.32358674463937626, 0.4776936026936028]}, {'fit_time': [1.377300500869751, 1.3874330520629883, 1.380418062210083], 'score_time': [0.004263877868652344, 0.004450321197509766, 0.00439143180847168], 'test_accuracy': [0.5555555555555556, 0.3333333333333333, 0.3888888888888889], 'test_precision_macro': [0.5833333333333334, 0.22857142857142856, 0.40277777777777773], 'test_recall_macro': [0.5833333333333334, 0.35714285714285715, 0.4484126984126984], 'test_f1_macro': [0.5816239316239316, 0.27807486631016043, 0.39259259259259255]}, {'fit_time': [1.3724453449249268, 1.3792788982391357, 1.3697094917297363], 'score_time': [0.004414796829223633, 0.004350185394287109, 0.0042951107025146484], 'test_accuracy': [0.3888888888888889, 0.4444444444444444, 0.4444444444444444], 'test_precision_macro': [0.34595959595959597, 0.4292929292929293, 0.44285714285714284], 'test_recall_macro': [0.36904761904761907, 0.4166666666666667, 0.5535714285714285], 'test_f1_macro': [0.34102934102934107, 0.40163540163540173, 0.4666666666666666]}, {'fit_time': [1.382704734802246, 1.377122402191162, 1.3663015365600586], 'score_time': [0.00446319580078125, 0.0042726993560791016, 0.004340410232543945], 'test_accuracy': [0.5555555555555556, 0.3888888888888889, 0.6111111111111112], 'test_precision_macro': [0.557142857142857, 0.3611111111111111, 0.611111111111111], 'test_recall_macro': [0.5833333333333334, 0.36904761904761907, 0.6904761904761904], 'test_f1_macro': [0.557142857142857, 0.33734335839598995, 0.6178266178266179]}, {'fit_time': [1.3853309154510498, 1.3699562549591064, 1.3842988014221191], 'score_time': [0.00438690185546875, 0.00445556640625, 0.004442691802978516], 'test_accuracy': [0.3888888888888889, 0.5555555555555556, 0.5555555555555556], 'test_precision_macro': [0.3888888888888889, 0.6666666666666666, 0.5833333333333334], 'test_recall_macro': [0.36904761904761907, 0.6190476190476191, 0.5853174603174603], 'test_f1_macro': [0.34715576820839983, 0.5481481481481482, 0.5380952380952381]}]	{'classifier__n_neighbors': 1, 'classifier__weights': 'uniform', 'feature_selector__threshold': 0.001}
Logistic Regression	Variance Threshold	0.485	[{'fit_time': [1.5001907348632812, 1.472325325012207, 1.4804141521453857], 'score_time': [0.0046236515045166016, 0.0041637420654296875, 0.005759477615356445], 'test_accuracy': [0.5, 0.5, 0.6666666666666666], 'test_precision_macro': [0.3246753246753247, 0.5404040404040403, 0.4675324675324675], 'test_recall_macro': [0.42857142857142855, 0.5, 0.5357142857142857], 'test_f1_macro': [0.36507936507936506, 0.4968734968734969, 0.48888888888888876]}, {'fit_time': [1.4803860187530518, 1.481008529663086, 1.4538402557373047], 'score_time': [0.004088640213012695, 0.0046367645263671875, 0.00469517707824707], 'test_accuracy': [0.5, 0.5, 0.5555555555555556], 'test_precision_macro': [0.6722222222222222, 0.3333333333333333, 0.37948717948717947], 'test_recall_macro': [0.46428571428571425, 0.42857142857142855, 0.4583333333333333], 'test_f1_macro': [0.47543859649122805, 0.3738562091503268, 0.3871794871794872]}, {'fit_time': [1.4708003997802734, 1.413916826248169, 1.4378154277801514], 'score_time': [0.0046002864837646484, 0.004575252532958984, 0.004023075103759766], 'test_accuracy': [0.5555555555555556, 0.5, 0.5], 'test_precision_macro': [0.38888888888888884, 0.3333333333333333, 0.5181818181818182], 'test_recall_macro': [0.4761904761904761, 0.42857142857142855, 0.47420634920634924], 'test_f1_macro': [0.41565452091767874, 0.375, 0.4723646723646724]}, {'fit_time': [1.453608512878418, 1.4726083278656006, 1.456331729888916], 'score_time': [0.004070281982421875, 0.004521369934082031, 0.004578113555908203], 'test_accuracy': [0.6111111111111112, 0.5555555555555556, 0.3333333333333333], 'test_precision_macro': [0.621031746031746, 0.3722943722943723, 0.2222222222222222], 'test_recall_macro': [0.5952380952380952, 0.4761904761904761, 0.2738095238095238], 'test_f1_macro': [0.6031746031746031, 0.4126984126984126, 0.2355889724310777]}, {'fit_time': [1.4779412746429443, 1.4812626838684082, 1.489487886428833], 'score_time': [0.00462031364440918, 0.004673957824707031, 0.004183530807495117], 'test_accuracy': [0.2777777777777778, 0.3333333333333333, 0.6111111111111112], 'test_precision_macro': [0.18333333333333335, 0.21645021645021645, 0.7268518518518517], 'test_recall_macro': [0.23809523809523805, 0.2857142857142857, 0.5575396825396826], 'test_f1_macro': [0.20653594771241832, 0.24338624338624337, 0.5833333333333334]}, {'fit_time': [1.4782624244689941, 1.4661221504211426, 1.4663054943084717], 'score_time': [0.004669189453125, 0.004087924957275391, 0.004086971282958984], 'test_accuracy': [0.5555555555555556, 0.4444444444444444, 0.6111111111111112], 'test_precision_macro': [0.375, 0.43162393162393164, 0.654040404040404], 'test_recall_macro': [0.4761904761904762, 0.4166666666666667, 0.6329365079365079], 'test_f1_macro': [0.41830065359477125, 0.37777777777777777, 0.611111111111111]}, {'fit_time': [1.5044467449188232, 1.4985146522521973, 1.4650118350982666], 'score_time': [0.004169464111328125, 0.0041391849517822266, 0.004862785339355469], 'test_accuracy': [0.5555555555555556, 0.5, 0.5], 'test_precision_macro': [0.5555555555555555, 0.49999999999999994, 0.35384615384615387], 'test_recall_macro': [0.5119047619047619, 0.5, 0.41071428571428575], 'test_f1_macro': [0.5123177476118652, 0.4676691729323308, 0.35384615384615387]}, {'fit_time': [1.4835600852966309, 1.4505014419555664, 1.478701114654541], 'score_time': [0.004575490951538086, 0.0039937496185302734, 0.00405430793762207], 'test_accuracy': [0.5, 0.3333333333333333, 0.4444444444444444], 'test_precision_macro': [0.3333333333333333, 0.34722222222222227, 0.3194444444444444], 'test_recall_macro': [0.42857142857142855, 0.35714285714285715, 0.3511904761904762], 'test_f1_macro': [0.375, 0.3512820512820512, 0.3333333333333333]}, {'fit_time': [1.446824550628662, 1.4767582416534424, 1.4616389274597168], 'score_time': [0.004062175750732422, 0.0047495365142822266, 0.004048585891723633], 'test_accuracy': [0.3333333333333333, 0.5, 0.5555555555555556], 'test_precision_macro': [0.23611111111111108, 0.3246753246753247, 0.6904761904761904], 'test_recall_macro': [0.2857142857142857, 0.42857142857142855, 0.5158730158730159], 'test_f1_macro': [0.2583333333333333, 0.36507936507936506, 0.5405228758169934]}, {'fit_time': [1.4493036270141602, 1.5061280727386475, 1.4741220474243164], 'score_time': [0.004597663879394531, 0.00471186637878418, 0.004094123840332031], 'test_accuracy': [0.3888888888888889, 0.4444444444444444, 0.3888888888888889], 'test_precision_macro': [0.25925925925925924, 0.29437229437229434, 0.3888888888888889], 'test_recall_macro': [0.3333333333333333, 0.38095238095238093, 0.3670634920634921], 'test_f1_macro': [0.2916666666666667, 0.3280423280423281, 0.3606060606060606]}]	{'classifier__C': 0.5, 'feature_selector__threshold': 0.01}
SVM	Variance Threshold	0.485	[{'fit_time': [2.0479824542999268, 2.0837900638580322, 2.061413526535034], 'score_time': [0.004737377166748047, 0.005039215087890625, 0.004657268524169922], 'test_accuracy': [0.3888888888888889, 0.3333333333333333, 0.7777777777777778], 'test_precision_macro': [0.12962962962962962, 0.2222222222222222, 0.8412698412698413], 'test_recall_macro': [0.3333333333333333, 0.2857142857142857, 0.7579365079365079], 'test_f1_macro': [0.18666666666666668, 0.242914979757085, 0.7833333333333333]}, {'fit_time': [2.0255961418151855, 2.034154176712036, 2.0425312519073486], 'score_time': [0.0043337345123291016, 0.004853487014770508, 0.004279136657714844], 'test_accuracy': [0.5, 0.3888888888888889, 0.6111111111111112], 'test_precision_macro': [0.6243386243386243, 0.25, 0.7628205128205128], 'test_recall_macro': [0.5, 0.3333333333333333, 0.5694444444444444], 'test_f1_macro': [0.5317460317460317, 0.2780026990553306, 0.5666666666666668]}, {'fit_time': [2.049889087677002, 2.0788004398345947, 2.0263681411743164], 'score_time': [0.004125118255615234, 0.004996299743652344, 0.004520893096923828], 'test_accuracy': [0.5555555555555556, 0.5555555555555556, 0.6111111111111112], 'test_precision_macro': [0.5571428571428572, 0.3666666666666667, 0.7268518518518517], 'test_recall_macro': [0.5833333333333334, 0.4761904761904761, 0.5575396825396826], 'test_f1_macro': [0.5665445665445664, 0.41307189542483663, 0.5833333333333334]}, {'fit_time': [2.0545401573181152, 2.0405707359313965, 2.042794942855835], 'score_time': [0.00516963005065918, 0.005064249038696289, 0.005034685134887695], 'test_accuracy': [0.6111111111111112, 0.3888888888888889, 0.3888888888888889], 'test_precision_macro': [0.41991341991341996, 0.12962962962962962, 0.26406926406926406], 'test_recall_macro': [0.5238095238095238, 0.3333333333333333, 0.31547619047619047], 'test_f1_macro': [0.4603174603174603, 0.18666666666666668, 0.28148148148148144]}, {'fit_time': [2.0440499782562256, 2.046689510345459, 2.058426856994629], 'score_time': [0.005894184112548828, 0.0043315887451171875, 0.005064487457275391], 'test_accuracy': [0.3333333333333333, 0.3333333333333333, 0.5], 'test_precision_macro': [0.21645021645021645, 0.23148148148148148, 0.3333333333333333], 'test_recall_macro': [0.2857142857142857, 0.2857142857142857, 0.39285714285714285], 'test_f1_macro': [0.24338624338624337, 0.25555555555555554, 0.35384615384615387]}, {'fit_time': [1.9923145771026611, 2.0333683490753174, 2.0041871070861816], 'score_time': [0.0040934085845947266, 0.005036592483520508, 0.004561662673950195], 'test_accuracy': [0.3888888888888889, 0.3888888888888889, 0.5], 'test_precision_macro': [0.12962962962962962, 0.24444444444444446, 0.5222222222222223], 'test_recall_macro': [0.3333333333333333, 0.3333333333333333, 0.5436507936507936], 'test_f1_macro': [0.18666666666666668, 0.24848484848484853, 0.48395721925133683]}, {'fit_time': [2.0389211177825928, 2.0515565872192383, 2.043968677520752], 'score_time': [0.005128622055053711, 0.004350423812866211, 0.0043926239013671875], 'test_accuracy': [0.6111111111111112, 0.5, 0.6111111111111112], 'test_precision_macro': [0.4166666666666667, 0.5555555555555555, 0.4380952380952381], 'test_recall_macro': [0.5238095238095238, 0.5357142857142857, 0.49404761904761907], 'test_f1_macro': [0.4507422402159244, 0.5124183006535947, 0.45751633986928103]}, {'fit_time': [2.0640594959259033, 2.032697916030884, 2.0516748428344727], 'score_time': [0.005144834518432617, 0.004575014114379883, 0.004781961441040039], 'test_accuracy': [0.5555555555555556, 0.3888888888888889, 0.5], 'test_precision_macro': [0.3666666666666667, 0.39166666666666666, 0.3416666666666666], 'test_recall_macro': [0.4761904761904761, 0.44047619047619047, 0.3988095238095238], 'test_f1_macro': [0.41307189542483663, 0.41111111111111104, 0.3651960784313726]}, {'fit_time': [2.050083875656128, 2.039992332458496, 2.040070056915283], 'score_time': [0.00433659553527832, 0.006580352783203125, 0.004300355911254883], 'test_accuracy': [0.3888888888888889, 0.4444444444444444, 0.6111111111111112], 'test_precision_macro': [0.4444444444444444, 0.27777777777777773, 0.626984126984127], 'test_recall_macro': [0.4047619047619048, 0.38095238095238093, 0.621031746031746], 'test_f1_macro': [0.41804029304029305, 0.31309041835357626, 0.6222222222222222]}, {'fit_time': [2.0241270065307617, 2.0074102878570557, 2.036874532699585], 'score_time': [0.005755186080932617, 0.0051114559173583984, 0.004296541213989258], 'test_accuracy': [0.5555555555555556, 0.5, 0.3333333333333333], 'test_precision_macro': [0.3703703703703704, 0.3333333333333333, 0.3], 'test_recall_macro': [0.4761904761904762, 0.42857142857142855, 0.3253968253968254], 'test_f1_macro': [0.41666666666666674, 0.3434343434343434, 0.30399230399230404]}]	{'classifier__C': 0.01, 'classifier__kernel': 'linear', 'feature_selector__threshold': 0.001}
Random Forest	Variance Threshold	0.489	[{'fit_time': [7.41818380355835, 7.41777229309082, 7.299943447113037], 'score_time': [0.004820346832275391, 0.004910469055175781, 0.004641294479370117], 'test_accuracy': [0.5, 0.6666666666666666, 0.4444444444444444], 'test_precision_macro': [0.5317460317460317, 0.7555555555555555, 0.4648148148148148], 'test_recall_macro': [0.5, 0.6428571428571428, 0.42658730158730157], 'test_f1_macro': [0.5111111111111112, 0.6626445449974862, 0.4166666666666667]}, {'fit_time': [7.235268831253052, 7.272265434265137, 7.327738046646118], 'score_time': [0.004989147186279297, 0.004458427429199219, 0.004621982574462891], 'test_accuracy': [0.6666666666666666, 0.5, 0.3888888888888889], 'test_precision_macro': [0.6686507936507936, 0.6515151515151515, 0.43333333333333335], 'test_recall_macro': [0.6428571428571429, 0.46428571428571425, 0.37896825396825395], 'test_f1_macro': [0.6507936507936508, 0.4723646723646724, 0.3938375350140056]}, {'fit_time': [7.304745674133301, 7.38162636756897, 7.3334550857543945], 'score_time': [0.004337310791015625, 0.005008220672607422, 0.0050966739654541016], 'test_accuracy': [0.4444444444444444, 0.6111111111111112, 0.5], 'test_precision_macro': [0.4166666666666667, 0.7083333333333334, 0.6435185185185185], 'test_recall_macro': [0.4880952380952381, 0.5952380952380952, 0.46230158730158727], 'test_f1_macro': [0.4329004329004329, 0.6222222222222222, 0.49607843137254903]}, {'fit_time': [7.4786131381988525, 7.3971874713897705, 7.323415279388428], 'score_time': [0.004724264144897461, 0.004678010940551758, 0.004981517791748047], 'test_accuracy': [0.3333333333333333, 0.5555555555555556, 0.2777777777777778], 'test_precision_macro': [0.33730158730158727, 0.5740740740740741, 0.47979797979797983], 'test_recall_macro': [0.32142857142857145, 0.5476190476190476, 0.29563492063492064], 'test_f1_macro': [0.326984126984127, 0.5526556776556778, 0.3253968253968254]}, {'fit_time': [7.423826694488525, 7.3865344524383545, 7.434014558792114], 'score_time': [0.005775928497314453, 0.004788875579833984, 0.00447535514831543], 'test_accuracy': [0.3333333333333333, 0.3888888888888889, 0.4444444444444444], 'test_precision_macro': [0.21645021645021645, 0.36481481481481487, 0.4523809523809524], 'test_recall_macro': [0.2857142857142857, 0.36904761904761907, 0.49603174603174605], 'test_f1_macro': [0.24338624338624337, 0.3611111111111111, 0.43492063492063493]}, {'fit_time': [7.48002552986145, 7.425812005996704, 7.536055564880371], 'score_time': [0.004441261291503906, 0.005121707916259766, 0.0046138763427734375], 'test_accuracy': [0.3333333333333333, 0.3888888888888889, 0.4444444444444444], 'test_precision_macro': [0.23232323232323235, 0.40598290598290593, 0.49603174603174605], 'test_recall_macro': [0.2857142857142857, 0.36904761904761907, 0.49603174603174605], 'test_f1_macro': [0.25071225071225073, 0.3444444444444444, 0.4329004329004329]}, {'fit_time': [7.4709553718566895, 7.411027193069458, 7.384469032287598], 'score_time': [0.00479435920715332, 0.00484919548034668, 0.005060911178588867], 'test_accuracy': [0.6111111111111112, 0.4444444444444444, 0.5555555555555556], 'test_precision_macro': [0.6296296296296297, 0.3101851851851852, 0.3904761904761904], 'test_recall_macro': [0.5952380952380952, 0.38095238095238093, 0.4523809523809524], 'test_f1_macro': [0.603937728937729, 0.34166666666666673, 0.41307189542483663]}, {'fit_time': [7.302738904953003, 7.381380081176758, 7.319601774215698], 'score_time': [0.005193948745727539, 0.0075817108154296875, 0.004674434661865234], 'test_accuracy': [0.5555555555555556, 0.4444444444444444, 0.6111111111111112], 'test_precision_macro': [0.6851851851851851, 0.3282051282051282, 0.611111111111111], 'test_recall_macro': [0.5119047619047619, 0.38095238095238093, 0.615079365079365], 'test_f1_macro': [0.5194444444444445, 0.3333333333333333, 0.6113624937154349]}, {'fit_time': [7.458251714706421, 7.441022157669067, 7.505838632583618], 'score_time': [0.005172252655029297, 0.004712820053100586, 0.005545616149902344], 'test_accuracy': [0.5, 0.2222222222222222, 0.6111111111111112], 'test_precision_macro': [0.6515151515151515, 0.1693121693121693, 0.4444444444444445], 'test_recall_macro': [0.46428571428571425, 0.19047619047619047, 0.49404761904761907], 'test_f1_macro': [0.4723646723646724, 0.17857142857142858, 0.44862155388471175]}, {'fit_time': [7.380049705505371, 7.510587930679321, 7.328181028366089], 'score_time': [0.005522012710571289, 0.005733013153076172, 0.004775285720825195], 'test_accuracy': [0.5, 0.6666666666666666, 0.7222222222222222], 'test_precision_macro': [0.46230158730158727, 0.45, 0.7936507936507936], 'test_recall_macro': [0.46428571428571425, 0.5714285714285714, 0.7103174603174603], 'test_f1_macro': [0.4603174603174603, 0.5019607843137255, 0.7400560224089636]}]	{'classifier__max_depth': None, 'classifier__n_estimators': 50, 'feature_selector__threshold': 0.001}
Decision Tree	Variance Threshold	0.481	[{'fit_time': [0.9318726062774658, 0.9131641387939453, 0.9031541347503662], 'score_time': [0.004418849945068359, 0.004284381866455078, 0.004294395446777344], 'test_accuracy': [0.4444444444444444, 0.7222222222222222, 0.4444444444444444], 'test_precision_macro': [0.4507936507936508, 0.7833333333333333, 0.4305555555555555], 'test_recall_macro': [0.5238095238095237, 0.7261904761904762, 0.4146825396825397], 'test_f1_macro': [0.47301587301587295, 0.7277183600713012, 0.4036195286195286]}, {'fit_time': [0.9330165386199951, 0.9246866703033447, 0.9002685546875], 'score_time': [0.004407644271850586, 0.004559516906738281, 0.004632711410522461], 'test_accuracy': [0.3888888888888889, 0.3333333333333333, 0.6111111111111112], 'test_precision_macro': [0.39166666666666666, 0.3277777777777778, 0.6166666666666667], 'test_recall_macro': [0.36904761904761907, 0.3214285714285714, 0.6329365079365079], 'test_f1_macro': [0.37407407407407406, 0.3194444444444444, 0.592436974789916]}, {'fit_time': [0.9086601734161377, 0.8785848617553711, 0.8535997867584229], 'score_time': [0.0042455196380615234, 0.0043370723724365234, 0.004170656204223633], 'test_accuracy': [0.5, 0.5, 0.3888888888888889], 'test_precision_macro': [0.5, 0.38181818181818183, 0.3194444444444444], 'test_recall_macro': [0.46428571428571425, 0.42857142857142855, 0.30357142857142855], 'test_f1_macro': [0.4610356963298139, 0.38888888888888884, 0.3108974358974359]}, {'fit_time': [0.8758234977722168, 0.8796696662902832, 0.8845913410186768], 'score_time': [0.004209995269775391, 0.004321575164794922, 0.0043299198150634766], 'test_accuracy': [0.5555555555555556, 0.5555555555555556, 0.4444444444444444], 'test_precision_macro': [0.5555555555555555, 0.565079365079365, 0.47222222222222227], 'test_recall_macro': [0.619047619047619, 0.5833333333333334, 0.43253968253968256], 'test_f1_macro': [0.5656565656565656, 0.5536130536130536, 0.41988304093567247]}, {'fit_time': [0.8465025424957275, 0.8665924072265625, 0.8709237575531006], 'score_time': [0.0042095184326171875, 0.004190206527709961, 0.004247188568115234], 'test_accuracy': [0.4444444444444444, 0.2777777777777778, 0.4444444444444444], 'test_precision_macro': [0.5878787878787879, 0.19907407407407407, 0.4444444444444444], 'test_recall_macro': [0.4523809523809524, 0.23809523809523805, 0.48412698412698413], 'test_f1_macro': [0.48148148148148145, 0.21666666666666665, 0.436026936026936]}, {'fit_time': [0.8839292526245117, 0.8807289600372314, 0.8621563911437988], 'score_time': [0.0042722225189208984, 0.004343986511230469, 0.00414729118347168], 'test_accuracy': [0.5555555555555556, 0.5555555555555556, 0.6666666666666666], 'test_precision_macro': [0.5333333333333333, 0.6333333333333333, 0.6492063492063492], 'test_recall_macro': [0.5476190476190476, 0.5476190476190477, 0.6686507936507936], 'test_f1_macro': [0.5231729055258466, 0.5442265795206972, 0.6428571428571429]}, {'fit_time': [0.8637351989746094, 0.8715548515319824, 0.8649663925170898], 'score_time': [0.004113197326660156, 0.004299640655517578, 0.004390716552734375], 'test_accuracy': [0.5, 0.3888888888888889, 0.3888888888888889], 'test_precision_macro': [0.5376984126984127, 0.3952380952380952, 0.2722222222222222], 'test_recall_macro': [0.5, 0.4404761904761904, 0.32142857142857145], 'test_f1_macro': [0.5142857142857143, 0.4063492063492064, 0.27800269905533065]}, {'fit_time': [0.8641843795776367, 0.8772487640380859, 0.8602190017700195], 'score_time': [0.00411677360534668, 0.004356861114501953, 0.004339933395385742], 'test_accuracy': [0.5555555555555556, 0.3333333333333333, 0.5555555555555556], 'test_precision_macro': [0.5416666666666666, 0.3611111111111111, 0.5412698412698412], 'test_recall_macro': [0.5119047619047619, 0.3214285714285714, 0.503968253968254], 'test_f1_macro': [0.5111111111111111, 0.31206804891015416, 0.5074074074074074]}, {'fit_time': [0.8627009391784668, 0.8587079048156738, 0.8729567527770996], 'score_time': [0.004311800003051758, 0.004132986068725586, 0.004151582717895508], 'test_accuracy': [0.3888888888888889, 0.5555555555555556, 0.5555555555555556], 'test_precision_macro': [0.3148148148148148, 0.5484848484848485, 0.6904761904761904], 'test_recall_macro': [0.3333333333333333, 0.5119047619047619, 0.5158730158730159], 'test_f1_macro': [0.3205128205128205, 0.49999999999999994, 0.5405228758169934]}, {'fit_time': [0.8523654937744141, 0.8783142566680908, 0.8526730537414551], 'score_time': [0.004040718078613281, 0.004352092742919922, 0.004012346267700195], 'test_accuracy': [0.5555555555555556, 0.4444444444444444, 0.3888888888888889], 'test_precision_macro': [0.5707070707070706, 0.4583333333333333, 0.2878787878787879], 'test_recall_macro': [0.5476190476190476, 0.4523809523809524, 0.30952380952380953], 'test_f1_macro': [0.5339105339105339, 0.40740740740740744, 0.2941970310391363]}]	{'classifier__max_depth': 5, 'feature_selector__threshold': 0.1}
