window_size,classifier,selector,best_parameters,source_file,mean_accuracy,std_accuracy,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_f1_macro,std_f1_macro
50,Random Forest,ANOVA,"{'classifier__max_depth': 10, 'classifier__n_estimators': 50, 'feature_selector__k': 25}",CLASSIFIED_bouldering_summary_50_(12_12_47)_in5_out3.tsv,0.47037037037037044,0.11451573950918746,0.4550690050690051,0.16549707771380912,0.4438492063492064,0.1205419332338687,0.43240893523401264,0.1355997291627828
50,SVM,ANOVA,"{'classifier__C': 0.01, 'classifier__kernel': 'linear', 'feature_selector__k': 25}",CLASSIFIED_bouldering_summary_50_(12_12_47)_in5_out3.tsv,0.47777777777777775,0.13271461383088085,0.418621286121286,0.19369433704884573,0.43326719576719586,0.12400130493732026,0.40414769761828584,0.14745758944486873
50,Decision Tree,PCA,"{'classifier__max_depth': 5, 'feature_selector__n_components': 5}",CLASSIFIED_bouldering_summary_50_(12_12_47)_in5_out3.tsv,0.4037037037037037,0.10534416780242885,0.3595189850091811,0.14770322463161512,0.36673280423280424,0.10162408825372594,0.3395701909030082,0.10780276242621888
50,KNN,PCA,"{'classifier__n_neighbors': 1, 'classifier__weights': 'uniform', 'feature_selector__n_components': 25}",CLASSIFIED_bouldering_summary_50_(12_12_47)_in5_out3.tsv,0.3777777777777779,0.07908946853356527,0.30705590342845246,0.13792607749418337,0.3371031746031746,0.08473151504739697,0.29027866893629445,0.09527895242805123
50,Logistic Regression,PCA,"{'classifier__C': 10, 'feature_selector__n_components': 25}",CLASSIFIED_bouldering_summary_50_(12_12_47)_in5_out3.tsv,0.4111111111111112,0.09139972355002271,0.2957516421487009,0.09888360450936504,0.35178571428571437,0.07980064012445713,0.30488950299454187,0.08371750692424235
50,Random Forest,PCA,"{'classifier__max_depth': 5, 'classifier__n_estimators': 50, 'feature_selector__n_components': 5}",CLASSIFIED_bouldering_summary_50_(12_12_47)_in5_out3.tsv,0.3740740740740741,0.0810595134379233,0.31545910879244216,0.1180288885079739,0.33326719576719566,0.07891819179234148,0.3037097390244965,0.08379578719917746
50,SVM,PCA,"{'classifier__C': 0.5, 'classifier__kernel': 'linear', 'feature_selector__n_components': 5}",CLASSIFIED_bouldering_summary_50_(12_12_47)_in5_out3.tsv,0.40185185185185185,0.07815165868892295,0.26023993617130875,0.1066099806799039,0.3413359788359788,0.07402412927902281,0.2789743817509555,0.0893523161571896
50,Decision Tree,Variance Threshold,"{'classifier__max_depth': 10, 'feature_selector__threshold': 0.01}",CLASSIFIED_bouldering_summary_50_(12_12_47)_in5_out3.tsv,0.425925925925926,0.10075163339804033,0.4114438031104698,0.146458839602645,0.39444444444444443,0.1128261906967095,0.3853094857403423,0.117120686468512
50,KNN,Variance Threshold,"{'classifier__n_neighbors': 1, 'classifier__weights': 'uniform', 'feature_selector__threshold': 0.001}",CLASSIFIED_bouldering_summary_50_(12_12_47)_in5_out3.tsv,0.5555555555555555,0.08114408259335794,0.5845061728395061,0.10424555386561139,0.6052248677248677,0.09182240620020413,0.5520157547608526,0.0850137116732313
50,Logistic Regression,Variance Threshold,"{'classifier__C': 0.1, 'feature_selector__threshold': 0.01}",CLASSIFIED_bouldering_summary_50_(12_12_47)_in5_out3.tsv,0.5037037037037038,0.09177416069158421,0.47754248837582164,0.15803739467652475,0.46408730158730155,0.1095965726204918,0.44408112594129107,0.11497091495656292
50,Random Forest,Variance Threshold,"{'classifier__max_depth': 20, 'classifier__n_estimators': 20, 'feature_selector__threshold': 0.01}",CLASSIFIED_bouldering_summary_50_(12_12_47)_in5_out3.tsv,0.4425925925925927,0.1029236535673352,0.4282972582972583,0.1647842382260575,0.4162037037037037,0.10449611964309562,0.4004398118794404,0.11713378535126738
50,SVM,Variance Threshold,"{'classifier__C': 0.001, 'classifier__kernel': 'linear', 'feature_selector__threshold': 0.01}",CLASSIFIED_bouldering_summary_50_(12_12_47)_in5_out3.tsv,0.512962962962963,0.09800828609184627,0.4840119294285961,0.17094048303566875,0.4691137566137566,0.11521689844578684,0.4453841628467867,0.13116470941688643
100,Decision Tree,ANOVA,"{'classifier__max_depth': None, 'feature_selector__k': 5}",CLASSIFIED_bouldering_summary_100_(12_12_20)_in5_out3.tsv,0.44629629629629625,0.1221239784725744,0.44511103094436427,0.14260381879720532,0.43406084656084654,0.11723564076786694,0.4221722469710086,0.12442489963675511
100,KNN,ANOVA,"{'classifier__n_neighbors': 1, 'classifier__weights': 'uniform', 'feature_selector__k': 25}",CLASSIFIED_bouldering_summary_100_(12_12_20)_in5_out3.tsv,0.487037037037037,0.12229234800814118,0.5019187910854578,0.1615076312247057,0.4632936507936508,0.13122541481898636,0.4574534210963519,0.13747596777606108
100,Logistic Regression,ANOVA,"{'classifier__C': 0.5, 'feature_selector__k': 25}",CLASSIFIED_bouldering_summary_100_(12_12_20)_in5_out3.tsv,0.4907407407407407,0.10742337046128281,0.5042419000752334,0.1646148032417016,0.4532407407407407,0.10044423893143253,0.4476946478778264,0.11060474201743874
100,Random Forest,ANOVA,"{'classifier__max_depth': 5, 'classifier__n_estimators': 10, 'feature_selector__k': 25}",CLASSIFIED_bouldering_summary_100_(12_12_20)_in5_out3.tsv,0.45925925925925937,0.11469527827557055,0.4409286700953368,0.16235695130191172,0.4285052910052911,0.1091431966472195,0.4115206839561844,0.12524657456561006
100,SVM,ANOVA,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'feature_selector__k': 25}",CLASSIFIED_bouldering_summary_100_(12_12_20)_in5_out3.tsv,0.4740740740740741,0.10217121647506461,0.4477219385552719,0.15209394332120182,0.4382936507936508,0.09032660462258892,0.4180219967892826,0.11337828388135464
100,Decision Tree,PCA,"{'classifier__max_depth': 5, 'feature_selector__n_components': 25}",CLASSIFIED_bouldering_summary_100_(12_12_20)_in5_out3.tsv,0.3851851851851853,0.10136246061780749,0.3304009724843058,0.1582083305141048,0.33690476190476193,0.09684409785574738,0.30574345708583156,0.10793667484200851
100,KNN,PCA,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance', 'feature_selector__n_components': 25}",CLASSIFIED_bouldering_summary_100_(12_12_20)_in5_out3.tsv,0.37962962962962965,0.07601620648805109,0.27427817280758454,0.15056517637652123,0.3330026455026456,0.07068447546333319,0.27390481103892506,0.09361515438629953
100,Logistic Regression,PCA,"{'classifier__C': 1, 'feature_selector__n_components': 25}",CLASSIFIED_bouldering_summary_100_(12_12_20)_in5_out3.tsv,0.44629629629629636,0.07097691813606224,0.3263468167634834,0.09591179113322415,0.3792989417989418,0.06272286069238514,0.3289199403361246,0.06732426779622892
100,Random Forest,PCA,"{'classifier__max_depth': 5, 'classifier__n_estimators': 20, 'feature_selector__n_components': 25}",CLASSIFIED_bouldering_summary_100_(12_12_20)_in5_out3.tsv,0.40555555555555556,0.08743016025268797,0.3603519320185988,0.12014500178078363,0.364021164021164,0.08134877618503723,0.33786551664518655,0.08673538570155633
100,SVM,PCA,"{'classifier__C': 0.5, 'classifier__kernel': 'linear', 'feature_selector__n_components': 5}",CLASSIFIED_bouldering_summary_100_(12_12_20)_in5_out3.tsv,0.44814814814814824,0.08834711438427086,0.3775118273157488,0.12872537928729344,0.3986772486772487,0.08271046722138051,0.3512303231169387,0.09805470056336435
100,Decision Tree,Variance Threshold,"{'classifier__max_depth': 5, 'feature_selector__threshold': 0.001}",CLASSIFIED_bouldering_summary_100_(12_12_20)_in5_out3.tsv,0.4537037037037038,0.09737642092692526,0.44588137171470504,0.1228388436518387,0.4487433862433862,0.10196570373468344,0.4276621230697598,0.10625127314322239
100,KNN,Variance Threshold,"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance', 'feature_selector__threshold': 0.05}",CLASSIFIED_bouldering_summary_100_(12_12_20)_in5_out3.tsv,0.5462962962962963,0.09523993237499105,0.5596685105018439,0.12226947433859713,0.5839285714285715,0.10676514600409892,0.5352211122592959,0.10827531205916696
100,Logistic Regression,Variance Threshold,"{'classifier__C': 0.1, 'feature_selector__threshold': 0.001}",CLASSIFIED_bouldering_summary_100_(12_12_20)_in5_out3.tsv,0.5537037037037038,0.08782152371392132,0.5613607071940405,0.15171057595296816,0.521031746031746,0.1008704348618053,0.5120726435587116,0.11596125944110115
100,Random Forest,Variance Threshold,"{'classifier__max_depth': 10, 'classifier__n_estimators': 50, 'feature_selector__threshold': 0.05}",CLASSIFIED_bouldering_summary_100_(12_12_20)_in5_out3.tsv,0.4981481481481482,0.08048634745222497,0.4687063245396578,0.14600577353274885,0.46064814814814814,0.09041479417672127,0.43845366258936946,0.10362338282357536
100,SVM,Variance Threshold,"{'classifier__C': 0.001, 'classifier__kernel': 'linear', 'feature_selector__threshold': 0.01}",CLASSIFIED_bouldering_summary_100_(12_12_20)_in5_out3.tsv,0.5111111111111111,0.0944988949790598,0.4831092527661155,0.16530691494465008,0.48518518518518516,0.11654978007687376,0.44761174191882674,0.13875548132402962
